timestamp,strategy,action,symbol,amount,reason,rsi2,equity,in_market
2026-06-09T14:23:57,safe,ENTRY,HON,10000.0,rsi2_dip,1.43,100000.0,True
2026-06-09T14:23:57,safe,ENTRY,PANW,10000.0,rsi2_dip,8.05,100000.0,True
2026-06-09T14:23:57,safe,ENTRY,AAPL,10000.0,rsi2_dip,8.82,100000.0,True
2026-06-09T14:23:57,safe,ADD_PARK,SPY,70000.0,,,100000.0,True
2026-06-09T14:23:57,safe,SNAPSHOT,,100000.0,,,100000.0,True
2026-06-09T15:25:13,safe,ADD_PARK,SPY,52.46,,,98722.69,True
2026-06-09T15:25:13,safe,SNAPSHOT,,98722.69,,,98722.69,True
2026-06-10T11:27:08,safe,TRIM_PARK,SPY,-62.75,,,98011.54,True
2026-06-10T11:27:08,safe,SNAPSHOT,,98011.54,,,98011.54,True
2026-06-12T11:51:50,safe,EXIT,HON,361.16,sma5_exit (+3.6%),,100804.99,True
2026-06-12T11:51:50,safe,EXIT,PANW,581.35,sma5_exit (+5.8%),,100804.99,True
2026-06-12T11:51:50,safe,EXIT,UPS,439.42,sma5_exit (+4.5%),,100804.99,True
2026-06-12T11:51:50,safe,ADD_PARK,SPY,60800.77,,,100804.99,True
2026-06-12T11:51:50,safe,SNAPSHOT,,100804.99,,,100804.99,True
2026-06-13T08:41:09,safe,EXIT,QCOM,880.75,sma5_exit (+9.0%),,100726.5,True
2026-06-13T08:41:09,safe,ADD_PARK,SPY,9835.78,,,100726.5,True
2026-06-13T08:41:09,safe,SNAPSHOT,,100726.5,,,100726.5,True
2026-06-16T16:04:19,safe,ADD_PARK,SPY,689.67,,,103012.18,True
2026-06-16T16:04:19,safe,SNAPSHOT,,103012.18,,,103012.18,True
2026-06-17T12:41:09,safe,EXIT,AAPL,-19.46,sma5_exit (-0.2%),,102668.11,True
2026-06-17T12:41:09,safe,EXIT,AMZN,366.24,sma5_exit (+3.7%),,102668.11,True
2026-06-17T12:41:09,safe,ENTRY,SLB,10266.81,rsi2_dip,6.72,102668.11,True
2026-06-17T12:41:09,safe,ADD_PARK,SPY,10295.04,,,102668.11,True
2026-06-17T12:41:09,safe,SNAPSHOT,,102668.11,,,102668.11,True
2026-06-18T11:58:04,safe,TRIM_PARK,SPY,-30782.48,,,101370.13,True
2026-06-18T11:58:04,safe,ENTRY,CVX,10137.01,rsi2_dip,5.82,101370.13,True
2026-06-18T11:58:04,safe,ENTRY,WMT,10137.01,rsi2_dip,7.55,101370.13,True
2026-06-18T11:58:04,safe,ENTRY,LLY,10137.01,rsi2_dip,8.82,101370.13,True
2026-06-18T11:58:04,safe,SNAPSHOT,,101370.13,,,101370.13,True
2026-06-23T10:45:39,safe,TRIM_PARK,SPY,-19809.52,,,100062.77,True
2026-06-23T10:45:39,safe,ENTRY,MDLZ,10006.28,rsi2_dip,6.41,100062.77,True
2026-06-23T10:45:39,safe,ENTRY,CL,10006.28,rsi2_dip,7.28,100062.77,True
2026-06-23T10:45:39,safe,SNAPSHOT,,100062.77,,,100062.77,True
2026-06-24T08:46:19,safe,EXIT,CL,82.76,sma5_exit (+0.8%),,100155.34,True
2026-06-24T08:46:19,safe,EXIT,MDLZ,16.19,sma5_exit (+0.2%),,100155.34,True
2026-06-24T08:46:19,safe,EXIT,WMT,66.26,sma5_exit (+0.7%),,100155.34,True
2026-06-24T08:46:19,safe,ENTRY,HON,10015.53,rsi2_dip,8.4,100155.34,True
2026-06-24T08:46:19,safe,ADD_PARK,SPY,19712.29,,,100155.34,True
2026-06-24T08:46:19,safe,SNAPSHOT,,100155.34,,,100155.34,True
